Fecha,Poblacion_total,SMI,Total_cibercriminalidad,Total_de_Delitos_de_Odio,Infracciones_Penales, Allanamientos_totales
2014,46771341.0,753.0,49935,1285,432355,6743
2015,46624382.0,757.0,83058,1328,380244,6973
2016,46557008.0,764.0,92716,1272,367936,7063
2017,46572132.0,826.0,117399,1419,375865,7627
2018,46722980.0,859.0,160729,1598,394824,8707
2019,47026208.0,1050.0,218302,1706,411903,10239
2020,47450795.0,1108.0,287963,1401,415060,10988
2021,47385107.0,1125.8,305477,1802,453222,12558
2022,47475420.0,1166.7,374737,1869,508419,12271
2023,48381240.0,1260.0,472260,2268,556793,11426
2024,48619695.0,1323.0,464801,1955,577107,12263
