PORTAL ESTADÍSTICO DE CRIMINALIDAD,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Series anuales. Cibercriminalidad. Comunidades y Ciudades Autónomas,,,,,,,,,
,,,,,,,,,
"Hechos conocidos de infracciones penales relacionadas con la  cibercriminalidad por comunidades autónomas, grupo penal y periodo.",,,,,,,,,
Unidades: hechos conocidos,,,,,,,,,
,,,,,,,,,
 ,ACCESO  E INTERCEPTACIÓN ILÍCITA,AMENAZAS Y COACCIONES,CONTRA EL HONOR,CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,DELITOS SEXUALES,FALSIFICACIÓN INFORMÁTICA,FRAUDE INFORMÁTICO,INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,TOTAL grupo penal
TOTAL NACIONAL,,,,,,,,,
    2024,9773,17738,1128,227,1676,19492,412850,1917,464801
    2023,7367,17472,1174,117,1804,15137,427448,1741,472260
    2022,5578,15982,1191,114,1646,12569,335995,1662,374737
    2021,5342,17319,1426,137,1628,10476,267011,2138,305477
    2020,4653,14066,1550,125,1783,6289,257907,1590,287963
    2019,4004,12782,1422,197,1774,4275,192375,1473,218302
    2018,3384,12800,1448,232,1581,3436,136656,1192,160729
    2017,3150,11812,1561,121,1392,3280,94792,1291,117399
    2016,3243,12036,1546,129,1231,3017,70178,1336,92716
    2015,2893,10607,2205,172,1306,2644,62038,1193,83058
    2014,1851,9559,2212,183,974,1874,32842,440,49935
,,,,,,,,,
,,,,,,,,,
Notas:,,,,,,,,,
1) NIPO 126-20-021-2          ,,,,,,,,,
           ,,,,,,,,,
" (*) Del año 2011 a 2014 se computan datos provenientes de la Policía  Nacional, Guardia Civil, Policía Foral de Navarra y policías locales  que proporcionan datos al Sistema Estadístico de Criminalidad, y no  se incluyen datos de la Ertzaintza ni de los Mossos d'Esquadra. A  partir de 2015 están también incluidos los datos de estos dos últimos  cuerpos policiales.               ",,,,,,,,,
                 ,,,,,,,,,
,,,,,,,,,
Fuente: ,,,,,,,,,
Ministerio del Interior,,,,,,,,,
